roi_i,roi_j,label_i,label_j,network_i,network_j,same_network,fc_fisherz
0,130,7Networks_LH_Vis_1,7Networks_RH_SomMot_16,Vis,SomMot,0,0.2599790741331371
0,131,7Networks_LH_Vis_1,7Networks_RH_SomMot_17,Vis,SomMot,0,0.2777272995021435
0,132,7Networks_LH_Vis_1,7Networks_RH_SomMot_18,Vis,SomMot,0,0.33037203940461307
0,133,7Networks_LH_Vis_1,7Networks_RH_SomMot_19,Vis,SomMot,0,0.29466276866715213
0,134,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_1,Vis,DorsAttn,0,0.4735556925062806
0,135,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_2,Vis,DorsAttn,0,0.5041757214053199
0,136,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_3,Vis,DorsAttn,0,0.16131782196355454
0,137,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_4,Vis,DorsAttn,0,0.17385426211093397
0,138,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_5,Vis,DorsAttn,0,0.1930092058875833
0,139,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_6,Vis,DorsAttn,0,0.43881976278626017
0,140,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_7,Vis,DorsAttn,0,0.3194831587555601
0,141,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_8,Vis,DorsAttn,0,0.4755047759426609
0,142,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_9,Vis,DorsAttn,0,0.3454074747138916
0,143,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_Post_10,Vis,DorsAttn,0,0.2665066102659496
0,144,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_FEF_1,Vis,DorsAttn,0,0.2871059815045275
0,145,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_FEF_2,Vis,DorsAttn,0,0.19720797489871625
0,146,7Networks_LH_Vis_1,7Networks_RH_DorsAttn_PrCv_1,Vis,DorsAttn,0,0.3621088373742535
0,147,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_TempOccPar_1,Vis,SalVentAttn,0,0.3240193239463296
0,148,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_TempOccPar_2,Vis,SalVentAttn,0,0.2353692479478559
0,149,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_TempOccPar_3,Vis,SalVentAttn,0,0.15868864301954563
0,150,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_PrC_1,Vis,SalVentAttn,0,0.30166726776581
0,151,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_FrOperIns_1,Vis,SalVentAttn,0,0.19333491211228893
0,152,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_FrOperIns_2,Vis,SalVentAttn,0,0.10068366789947128
0,153,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_FrOperIns_3,Vis,SalVentAttn,0,0.10748342043570794
0,154,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_FrOperIns_4,Vis,SalVentAttn,0,0.20520524867110074
0,155,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_Med_1,Vis,SalVentAttn,0,0.2826224593409199
0,156,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_Med_2,Vis,SalVentAttn,0,0.4815069173708122
0,157,7Networks_LH_Vis_1,7Networks_RH_SalVentAttn_Med_3,Vis,SalVentAttn,0,0.1019010670865981
0,158,7Networks_LH_Vis_1,7Networks_RH_Limbic_OFC_1,Vis,Limbic,0,-0.14290926439068946
0,159,7Networks_LH_Vis_1,7Networks_RH_Limbic_OFC_2,Vis,Limbic,0,0.04184288409994842
0,160,7Networks_LH_Vis_1,7Networks_RH_Limbic_OFC_3,Vis,Limbic,0,0.14187125247008175
0,161,7Networks_LH_Vis_1,7Networks_RH_Limbic_TempPole_1,Vis,Limbic,0,0.29807406917809776
0,162,7Networks_LH_Vis_1,7Networks_RH_Limbic_TempPole_2,Vis,Limbic,0,0.1894096066935297
0,163,7Networks_LH_Vis_1,7Networks_RH_Limbic_TempPole_3,Vis,Limbic,0,0.3982371364597186
0,164,7Networks_LH_Vis_1,7Networks_RH_Cont_Par_1,Vis,Cont,0,0.005739887112611678
0,165,7Networks_LH_Vis_1,7Networks_RH_Cont_Par_2,Vis,Cont,0,0.002937190914366572
0,166,7Networks_LH_Vis_1,7Networks_RH_Cont_Par_3,Vis,Cont,0,0.2036635068288144
0,167,7Networks_LH_Vis_1,7Networks_RH_Cont_Temp_1,Vis,Cont,0,0.34594814661880857
0,168,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCv_1,Vis,Cont,0,0.012869999448764543
0,169,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCl_1,Vis,Cont,0,0.019767336752586556
0,170,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCl_2,Vis,Cont,0,0.18298172370492338
0,171,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCl_3,Vis,Cont,0,0.164724243958339
0,172,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCl_4,Vis,Cont,0,0.1566825324528208
0,173,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCl_5,Vis,Cont,0,0.1920087015967526
0,174,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCl_6,Vis,Cont,0,-0.02761216065497103
0,175,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCl_7,Vis,Cont,0,0.008235400679410454
0,176,7Networks_LH_Vis_1,7Networks_RH_Cont_pCun_1,Vis,Cont,0,0.4857791385144246
0,177,7Networks_LH_Vis_1,7Networks_RH_Cont_Cing_1,Vis,Cont,0,0.23992389989834217
0,178,7Networks_LH_Vis_1,7Networks_RH_Cont_Cing_2,Vis,Cont,0,0.1618526440648274
0,179,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCmp_1,Vis,Cont,0,0.2749605115763775
0,180,7Networks_LH_Vis_1,7Networks_RH_Cont_PFCmp_2,Vis,Cont,0,0.05219695285707693
0,181,7Networks_LH_Vis_1,7Networks_RH_Default_Par_1,Vis,Default,0,0.28898922618618605
0,182,7Networks_LH_Vis_1,7Networks_RH_Default_Par_2,Vis,Default,0,0.10737550318937332
0,183,7Networks_LH_Vis_1,7Networks_RH_Default_Par_3,Vis,Default,0,0.02800052071106681
0,184,7Networks_LH_Vis_1,7Networks_RH_Default_Temp_1,Vis,Default,0,0.24781253048884508
0,185,7Networks_LH_Vis_1,7Networks_RH_Default_Temp_2,Vis,Default,0,0.22764136060849954
0,186,7Networks_LH_Vis_1,7Networks_RH_Default_Temp_3,Vis,Default,0,0.2619738823637213
0,187,7Networks_LH_Vis_1,7Networks_RH_Default_Temp_4,Vis,Default,0,0.2768232372579479
0,188,7Networks_LH_Vis_1,7Networks_RH_Default_Temp_5,Vis,Default,0,0.2844235280938179
0,189,7Networks_LH_Vis_1,7Networks_RH_Default_PFCv_1,Vis,Default,0,0.14822002603384732
0,190,7Networks_LH_Vis_1,7Networks_RH_Default_PFCdPFCm_1,Vis,Default,0,0.16642598968867314
0,191,7Networks_LH_Vis_1,7Networks_RH_Default_PFCdPFCm_2,Vis,Default,0,0.18311528648431397
0,192,7Networks_LH_Vis_1,7Networks_RH_Default_PFCdPFCm_3,Vis,Default,0,0.22117517307148535
0,193,7Networks_LH_Vis_1,7Networks_RH_Default_PFCdPFCm_4,Vis,Default,0,0.19520040983228812
0,194,7Networks_LH_Vis_1,7Networks_RH_Default_PFCdPFCm_5,Vis,Default,0,0.05165783882853929
0,195,7Networks_LH_Vis_1,7Networks_RH_Default_PFCdPFCm_6,Vis,Default,0,0.1647691824430718
0,196,7Networks_LH_Vis_1,7Networks_RH_Default_PFCdPFCm_7,Vis,Default,0,0.06703269505991362
0,197,7Networks_LH_Vis_1,7Networks_RH_Default_pCunPCC_1,Vis,Default,0,0.45602633852564634
0,198,7Networks_LH_Vis_1,7Networks_RH_Default_pCunPCC_2,Vis,Default,0,0.17148689505725034
0,199,7Networks_LH_Vis_1,7Networks_RH_Default_pCunPCC_3,Vis,Default,0,0.29763166102340266
1,2,7Networks_LH_Vis_2,7Networks_LH_Vis_3,Vis,Vis,1,0.9604839371678713
1,3,7Networks_LH_Vis_2,7Networks_LH_Vis_4,Vis,Vis,1,0.6973270690351827
1,4,7Networks_LH_Vis_2,7Networks_LH_Vis_5,Vis,Vis,1,1.428080182524003
1,5,7Networks_LH_Vis_2,7Networks_LH_Vis_6,Vis,Vis,1,0.5498121942495509
1,6,7Networks_LH_Vis_2,7Networks_LH_Vis_7,Vis,Vis,1,0.9025144820578017
1,7,7Networks_LH_Vis_2,7Networks_LH_Vis_8,Vis,Vis,1,0.581370977339599
1,8,7Networks_LH_Vis_2,7Networks_LH_Vis_9,Vis,Vis,1,1.029644049578865
1,9,7Networks_LH_Vis_2,7Networks_LH_Vis_10,Vis,Vis,1,0.955256837434877
1,10,7Networks_LH_Vis_2,7Networks_LH_Vis_11,Vis,Vis,1,0.971663442128961
1,11,7Networks_LH_Vis_2,7Networks_LH_Vis_12,Vis,Vis,1,0.5880431280671752
1,12,7Networks_LH_Vis_2,7Networks_LH_Vis_13,Vis,Vis,1,0.7949476020428882
1,13,7Networks_LH_Vis_2,7Networks_LH_Vis_14,Vis,Vis,1,1.1568382962768837
1,14,7Networks_LH_Vis_2,7Networks_LH_SomMot_1,Vis,SomMot,0,-0.11895411467788594
1,15,7Networks_LH_Vis_2,7Networks_LH_SomMot_2,Vis,SomMot,0,0.3971294517226839
1,16,7Networks_LH_Vis_2,7Networks_LH_SomMot_3,Vis,SomMot,0,0.11160262110280801
1,17,7Networks_LH_Vis_2,7Networks_LH_SomMot_4,Vis,SomMot,0,0.2332342582184371
1,18,7Networks_LH_Vis_2,7Networks_LH_SomMot_5,Vis,SomMot,0,0.09500534879157993
